Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
2318-233 Rossville Blvd,Chattanooga,TN,37408,4/8/2024 3:15,TN0330100,B6,Baker S,90D,Driving Under The Influence,Part 2 Crimes,24-031123,2,Cleared by Arrest,35.023496,,-85.298546,POINT (-85.298546 35.023496),8
1800 Tunnel Blvd,Chattanooga,TN,37406,4/8/2024 3:30,TN0330100,C1,Charlie S,13B,Simple Assault,Part 1 Crimes,24-031124,3,Pending/Possible Leads,35.048021,North Brainerd,-85.236544,POINT (-85.236544 35.048021),5
3700 Cummings Hwy,Chattanooga,TN,37419,4/8/2024 3:36,TN0330100,A13,Adam S,90D,Driving Under The Influence,Part 2 Crimes,24-031150,2,Cleared by Arrest,35.01903600000001,,-85.380803,POINT (-85.380803 35.019036),1
Wayne Ave & Whitehall Rd,Chattanooga,TN,37405,4/8/2024 5:42,TN0330100,A5,Adam N,91Z,Shots Fired with Nothing Located,,24-031130,3,Pending/Possible Leads,35.071638,,-85.321589,POINT (-85.321589 35.071638),1
300 Market St,Chattanooga,TN,37402,4/8/2024 6:43,TN0330100,A7,Adam S,91Z,Suspicious Activity,,24-031133,3,Pending/Possible Leads,35.053403,,-85.309256,POINT (-85.309256 35.053403),7
1300 E 3rd St,Chattanooga,TN,37404,4/8/2024 7:10,TN0330100,B4,Baker N,91Z,Miscellaneous Information,,24-031136,3,Pending/Possible Leads,35.043366999999996,Bushtown,-85.27854,POINT (-85.27854 35.043367),8
1400 Tunnel Blvd,Chattanooga,TN,37411,4/8/2024 7:30,TN0330100,C1,Charlie S,91Z,Field Interview,,24-031135,3,Pending/Possible Leads,35.046335,Eastdale,-85.238607,POINT (-85.238607 35.046335),9
2100 Test Dr,Chattanooga,TN,37421,4/8/2024 7:30,TN0330100,C6,Charlie N,91Z,Damaged Property Accidental,,24-031253,3,Pending/Possible Leads,35.061171,,-85.190063,POINT (-85.190063 35.061171),6
7300 Shallowford Rd,Chattanooga,TN,37421,4/8/2024 7:58,TN0330100,C7,Charlie N,91Z,Accidental Injury,,24-031142,3,Pending/Possible Leads,35.042082,,-85.154739,POINT (-85.154739 35.042082),4
700 Glenwood Dr,Chattanooga,TN,37404,4/8/2024 8:00,TN0330100,B4,Baker N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,24-031400,4,Inactive/Suspended,35.041292,Glenwood,-85.258942,POINT (-85.258942 35.041292),9
700 N Germantown Rd,Chattanooga,TN,37411,4/8/2024 8:17,TN0330100,C2,Charlie S,91Z,Miscellaneous Information,,24-031147,3,Pending/Possible Leads,35.033732,Menlo,-85.242669,POINT (-85.242669 35.033732),9
2000 E 25th Street Pl,Chattanooga,TN,37407,4/8/2024 8:38,TN0330100,B7,Baker S,91Z,Miscellaneous Information,,24-031151,3,Pending/Possible Leads,35.014257,,-85.284003,POINT (-85.284003 35.014257),8
5100 Brainerd Rd,Chattanooga,TN,37411,4/8/2024 9:00,TN0330100,C3,Charlie S,91Z,Miscellaneous Information,,24-031165,3,Pending/Possible Leads,35.010805,South Brainerd,-85.22542,POINT (-85.22542 35.010805),6
800 Mccallie Ave,Chattanooga,TN,37403,4/8/2024 9:00,TN0330100,A8,Adam S,91Z,Missing Person,,24-031543,4,Inactive/Suspended,35.042926,Martin Luther King,-85.295739,POINT (-85.295739 35.042926),8
